ts,time,pkg,core16,core20,nvme,pl1,gpu_temp,gpu_power,gpu_util,train_tag
1788459025,02:10:25,66.0,56.0,58.0,74,4095,58,90.99,34,ep? s50
1788459030,02:10:30,68.0,56.0,63.0,74,4095,58,90.68,35,ep? s50
1788459035,02:10:35,75.0,55.0,75.0,74,4095,58,90.62,33,ep? s50
1788459040,02:10:40,69.0,56.0,57.0,74,4095,58,94.12,36,ep? s50
1788459045,02:10:45,68.0,56.0,57.0,74,4095,58,90.86,35,ep? s50
1788459051,02:10:51,68.0,58.0,56.0,74,4095,58,94.32,30,ep? s50
1788459056,02:10:56,69.0,58.0,62.0,74,4095,58,93.15,34,ep? s50
1788459061,02:11:01,67.0,57.0,54.0,74,4095,58,90.46,32,ep? s50
1788459066,02:11:06,68.0,59.0,59.0,74,4095,58,94.52,30,ep? s50
1788459071,02:11:11,63.0,54.0,58.0,74,4095,58,90.61,35,ep? s50
1788459076,02:11:16,68.0,59.0,58.0,74,4095,58,93.99,35,ep? s50
1788459081,02:11:21,63.0,53.0,58.0,74,4095,59,92.56,30,ep? s50
1788459086,02:11:26,67.0,57.0,58.0,74,4095,58,91.69,30,ep? s50
1788459091,02:11:31,64.0,55.0,58.0,74,4095,58,94.25,35,ep? s50
1788459096,02:11:36,67.0,61.0,59.0,74,4095,60,92.03,30,ep? s50
1788459101,02:11:41,63.0,56.0,58.0,74,4095,59,91.19,30,ep? s50
1788459106,02:11:46,63.0,56.0,58.0,74,4095,59,91.71,30,ep? s50
1788459111,02:11:51,64.0,58.0,58.0,74,4095,58,94.82,30,ep? s50
1788459116,02:11:56,66.0,54.0,61.0,74,4095,59,91.86,30,ep? s50
1788459121,02:12:01,62.0,55.0,57.0,74,4095,59,92.06,30,ep? s150
1788459126,02:12:06,63.0,60.0,58.0,74,4095,58,91.50,31,ep? s150
1788459131,02:12:11,66.0,55.0,57.0,74,4095,58,91.73,30,ep? s150
1788459137,02:12:17,64.0,56.0,58.0,74,4095,58,91.69,32,ep? s150
1788459142,02:12:22,64.0,55.0,57.0,74,4095,58,91.53,30,ep? s150
1788459147,02:12:27,63.0,58.0,56.0,74,4095,58,91.70,33,ep? s150
1788459152,02:12:32,66.0,54.0,59.0,74,4095,58,92.08,30,ep? s150
1788459158,02:12:38,63.0,54.0,57.0,74,4095,58,91.65,30,ep? s150
1788459163,02:12:43,64.0,58.0,59.0,74,4095,58,91.95,33,ep? s150
1788459168,02:12:48,63.0,56.0,56.0,74,4095,58,92.00,31,ep? s200
1788459173,02:12:53,64.0,54.0,57.0,74,4095,58,91.82,30,ep? s200
