ts,time,pkg,core16,core20,gpu_temp,gpu_power,gpu_util,train_tag
1788338311,16:38:31,68.0,59.0,62.0,61,94.80,30,ep? s700
1788338316,16:38:36,66.0,60.0,62.0,60,95.57,32,ep? s700
1788338321,16:38:41,66.0,59.0,62.0,59,94.77,30,ep? s700
1788338326,16:38:46,64.0,59.0,61.0,59,94.68,30,ep? s750
1788338331,16:38:51,66.0,59.0,62.0,59,94.82,30,ep? s750
1788338336,16:38:56,66.0,60.0,62.0,59,94.69,30,ep? s750
1788338341,16:39:01,64.0,59.0,59.0,59,94.60,30,ep? s750
1788338346,16:39:06,64.0,58.0,59.0,59,94.59,30,ep? s750
1788338351,16:39:11,66.0,55.0,62.0,59,95.27,30,ep? s750
1788338356,16:39:16,63.0,58.0,61.0,59,94.96,31,ep? s750
1788338361,16:39:21,63.0,56.0,61.0,59,93.60,30,ep? s750
1788338366,16:39:26,66.0,59.0,61.0,59,95.24,33,ep? s750
1788338371,16:39:31,64.0,58.0,61.0,59,94.99,30,ep? s750
1788338376,16:39:36,63.0,58.0,61.0,59,94.88,34,ep? s800
1788338381,16:39:41,64.0,58.0,59.0,59,93.93,26,ep? s800
1788338386,16:39:46,64.0,56.0,58.0,59,95.56,33,ep? s800
1788338392,16:39:52,65.0,55.0,61.0,59,95.09,31,ep? s800
1788338397,16:39:57,63.0,55.0,58.0,59,94.82,24,ep? s800
1788338402,16:40:02,64.0,61.0,59.0,59,94.09,28,ep? s800
1788338407,16:40:07,66.0,58.0,57.0,59,96.10,26,ep? s800
1788338412,16:40:12,63.0,58.0,63.0,60,94.28,24,ep? s800
1788338417,16:40:17,66.0,59.0,58.0,60,96.16,27,ep? s800
1788338422,16:40:22,66.0,59.0,66.0,59,93.93,25,ep? s800
1788338427,16:40:27,66.0,58.0,62.0,59,94.01,34,ep? s850
1788338432,16:40:32,64.0,56.0,59.0,59,94.51,35,ep? s850
1788338437,16:40:37,71.0,54.0,57.0,59,94.34,34,ep? s850
1788338442,16:40:42,71.0,56.0,58.0,59,94.21,35,ep? s850
1788338447,16:40:47,70.0,55.0,66.0,59,96.07,30,ep? s850
1788338452,16:40:52,64.0,55.0,58.0,60,97.76,35,ep? s850
1788338457,16:40:57,63.0,55.0,58.0,59,94.76,30,ep? s850
1788338462,16:41:02,66.0,60.0,62.0,59,94.74,30,ep? s850
1788338467,16:41:07,64.0,56.0,62.0,59,94.79,30,ep? s850
1788338472,16:41:12,64.0,59.0,62.0,59,95.16,30,ep? s850
1788338478,16:41:18,64.0,60.0,62.0,59,95.44,30,ep? s900
1788338483,16:41:23,66.0,59.0,62.0,59,95.21,30,ep? s900
1788338488,16:41:28,66.0,59.0,62.0,59,93.79,30,ep? s900
1788338493,16:41:33,64.0,58.0,62.0,59,94.79,31,ep? s900
1788338498,16:41:38,64.0,60.0,61.0,59,93.55,30,ep? s900
1788338503,16:41:43,64.0,59.0,61.0,59,94.84,32,ep? s900
1788338508,16:41:48,66.0,60.0,62.0,59,95.07,30,ep? s900
1788338513,16:41:53,69.0,59.0,59.0,59,97.78,35,ep? s900
1788338519,16:41:59,69.0,61.0,59.0,59,95.47,33,ep? s900
1788338524,16:42:04,66.0,61.0,59.0,60,95.21,30,ep? s900
1788338529,16:42:09,64.0,61.0,59.0,60,97.61,35,ep? s950
1788338534,16:42:14,64.0,61.0,59.0,59,95.25,29,ep? s950
1788338539,16:42:19,64.0,58.0,59.0,59,94.98,30,ep? s950
1788338544,16:42:24,64.0,58.0,59.0,59,95.04,30,ep? s950
1788338549,16:42:29,68.0,64.0,59.0,59,95.19,30,ep? s950
1788338554,16:42:34,64.0,63.0,62.0,59,95.27,30,ep? s950
1788338559,16:42:39,66.0,59.0,59.0,59,95.45,30,ep? s950
